,,,,,,,,,,,
,,,,,,,,,,,
Customers Table,,,,,,,,,,,Managed by : Jack V. Ball
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Customer ID,Policy Holder Name,Gender,Age at Entry,Current Age,Occupation,Smoker Status,Medical Exam Required,Nationality,State,,
CUST-455423,James Y. Lucas,Male,50,73,"Engineer, land",No,Yes,United States,Minnesota,,
CUST-970361,Luke R. Delgado,Male,42,56,"Engineer, site",No,Yes,United States,Minnesota,,
CUST-669562,Luke G. Duncan,Male,48,63,"Designer, ceramics/pottery",No,Yes,United States,Minnesota,,
CUST-949919,Lucas N. Guerrero,Male,46,71,"Psychologist, educational",No,Yes,United States,Minnesota,,
CUST-901354,David J. Fisher,Male,24,31,Product designer,No,Yes,United States,Minnesota,,
CUST-578791,Dylan L. Becker,Male,48,53,Drilling engineer,No,Yes,United States,Minnesota,,
CUST-768505,Nathan Q. Johnston,Male,36,38,Mudlogger,No,Yes,United States,Minnesota,,
CUST-904374,David A. Grant,Male,42,53,"Engineer, electrical",No,Yes,United States,Minnesota,,
CUST-476432,Theodore N. Chapman,Male,33,41,Lexicographer,No,Yes,United States,Minnesota,,
CUST-171476,Isaac W. Graves,Male,18,42,"Engineer, drilling",No,Yes,United States,Minnesota,,
CUST-151794,Caleb D. Leonard,Male,50,72,"Designer, exhibition/display",No,Yes,United States,Minnesota,,
CUST-207263,Caleb K. Marshall,Male,56,57,Oceanographer,No,Yes,United States,Minnesota,,
CUST-697108,James K. Carroll,Male,54,60,Brewing technologist,No,Yes,United States,Minnesota,,
CUST-949625,Connor U. Ramsey,Male,42,56,Editorial assistant,No,Yes,United States,Minnesota,,
CUST-554872,Cameron M. Ingram,Male,58,69,"Administrator, Civil Service",No,Yes,United States,Minnesota,,
CUST-100128,Andrew D. Cross,Male,54,62,Customer service manager,No,Yes,United States,Minnesota,,
CUST-504196,Joseph Y. Medina,Male,40,65,"Production designer, theatre/television/film",No,Yes,United States,Minnesota,,
CUST-822675,Adam P. Stevens,Male,55,70,Statistician,No,Yes,United States,Minnesota,,
CUST-917941,Jack V. Lawrence,Male,22,40,Health promotion specialist,No,Yes,United States,Minnesota,,
CUST-421235,Wyatt Z. Goodwin,Male,47,65,Mining engineer,No,Yes,United States,Minnesota,,
CUST-926448,Andrew T. Lyons,Male,38,53,Quantity surveyor,No,Yes,United States,Minnesota,,
CUST-603365,Joshua R. Alexander,Male,56,64,"Engineer, energy",No,Yes,United States,Minnesota,,
CUST-726096,Nathan O. Smith,Male,59,62,Building control surveyor,No,Yes,United States,Minnesota,,
CUST-722971,Aaron B. Byrd,Male,49,66,"Engineer, building services",No,Yes,United States,Minnesota,,
CUST-213536,Nicholas D. Obrien,Male,52,75,Waste management officer,No,Yes,United States,Minnesota,,
CUST-862713,Jackson B. Medina,Male,32,38,Chief Strategy Officer,No,Yes,United States,Minnesota,,
CUST-635417,Joseph X. Maxwell,Male,55,64,Fisheries officer,No,Yes,United States,Minnesota,,
CUST-406991,Christopher U. Gregory,Male,39,47,Learning disability nurse,No,Yes,United States,Minnesota,,
CUST-337096,Luke Z. Wagner,Male,59,74,Professor Emeritus,No,Yes,United States,Minnesota,,
CUST-944474,Christopher E. Cox,Male,47,71,"Clinical scientist, histocompatibility and immunogenetics",No,Yes,United States,Minnesota,,
CUST-749529,Luke A. Thornton,Male,49,65,"Engineer, maintenance",No,Yes,United States,Minnesota,,
CUST-783374,William S. Herrera,Male,21,28,"Engineer, materials",No,Yes,United States,Minnesota,,
CUST-229952,Luke Y. Herrera,Male,24,35,Chartered loss adjuster,No,Yes,United States,Minnesota,,
CUST-975927,Matthew H. Powers,Male,23,46,Risk manager,No,Yes,United States,Minnesota,,
CUST-130752,Andrew Q. Carlson,Male,59,83,Equality and diversity officer,No,Yes,United States,Minnesota,,
CUST-906194,Theodore Z. Hunt,Male,28,40,"Copywriter, advertising",No,Yes,United States,Minnesota,,
CUST-398616,Adam O. Dennis,Male,30,48,Insurance account manager,No,Yes,United States,Minnesota,,
CUST-993281,Christopher H. Daniels,Male,33,47,"Surveyor, minerals",No,Yes,United States,Minnesota,,
CUST-942777,Nathan N. McDaniel,Male,37,54,"Therapist, sports",No,Yes,United States,Minnesota,,
CUST-349286,Austin P. Holmes,Male,23,25,Bookseller,No,Yes,United States,Minnesota,,
